access;tests;tests_grade;exam;project;project_grade;assignments;result_points;result_grade;graduate;year;acad_year
1256;57;A;19;91.54;A;40;189.92;A;1;2019;2019/2020
985;42.87;B;19;75.96;A;13.7;189.43;A;1;2017;2017/2018
1455;54.5;A;16;96.79;A;40;188.91;A;1;2019;2019/2020
998;54.5;A;16;93.36;A;40;186.85;A;1;2019;2019/2020
1347;55;A;16;92.86;A;39;186.38;A;1;2019;2019/2020
1000;54.5;A;16;94.55;A;37;184.56;A;1;2019;2019/2020
1216;51;B;13;98.77;A;40;184.26;A;1;2019;2019/2020
737;51;B;15;96.7;A;40;183.02;A;1;2019;2019/2020
782;56;A;20;93.17;A;32;181.23;A;1;2019;2019/2020
799;52;B;14;90.93;A;39;180.22;A;1;2019;2019/2020
1506;49;C;17;97.54;A;40;180.19;A;1;2019;2019/2020
776;55.5;A;17;89.18;A;24;175.16;A;1;2018;2018/2019
699;55.5;A;19;87.82;A;23;173.57;A;1;2018;2018/2019
615;54.5;A;19;86.64;A;24;171.96;A;1;2018;2018/2019
1065;52.5;B;15;90;A;24;170.2;A;1;2018;2018/2019
482;53.5;B;17;85.23;A;24;169.55;A;1;2018;2018/2019
459;56.5;A;19;84.41;A;19;169.01;A;1;2018;2018/2019
592;54;A;16;87.34;A;21;168.29;A;1;2018;2018/2019
779;51.5;B;16;88.41;A;24;167.27;A;1;2018;2018/2019
619;38.84;E;20;70.15;C;14.86;190;A;1;2016;2016/2017
738;43.33;D;19;81.09;A;12.36;190;A;1;2016;2016/2017
2392;38.44;E;16;77.7;A;14.59;190;A;1;2016;2016/2017
595;49.07;C;20;82.55;A;15.31;190;A;1;2016;2016/2017
424;37.4;E;20;66.54;C;11.8;190;A;1;2016;2016/2017
1047;48.84;C;18;77.44;A;14.4;190;A;1;2016;2016/2017
930;47.33;C;18;77.44;A;14.5;190;A;1;2016;2016/2017
1275;45.33;C;20;60.4;D;11.48;190;A;1;2016;2016/2017
349;0;A;0;0;FX;14;22;A;1;2018;2018/2019
697;41.07;C;19;75.84;A;14.4;186.83;B;1;2017;2017/2018
359;40.7;C;19;76.2;A;14.5;186.35;B;1;2017;2017/2018
1085;42.53;B;16;73.94;A;11.5;184.35;B;1;2017;2017/2018
457;36.48;D;18;79.52;A;12.7;182.57;B;1;2017;2017/2018
620;37;D;19;77.13;A;11.6;180.89;B;1;2017;2017/2018
701;40.43;C;18;75.88;A;13.4;180.65;B;1;2017;2017/2018
816;34.57;D;18;79.19;A;12.7;179.99;B;1;2017;2017/2018
969;52;B;17;88.59;B;40;179.82;B;1;2019;2019/2020
841;49;C;16;95.74;A;40;179.11;B;1;2019;2019/2020
945;49.5;C;11;93.94;A;40;178.86;B;1;2019;2019/2020
2089;49;C;16;94.56;A;40;178.4;B;1;2019;2019/2020
912;48;C;14;96.59;A;40;177.96;B;1;2019;2019/2020
680;49;C;15;93.44;A;40;177.73;B;1;2019;2019/2020
1537;46.5;C;15;97.91;A;40;176.25;B;1;2019;2019/2020
615;40.23;C;17;77.9;A;11.7;174.62;B;1;2017;2017/2018
1757;49;C;14;88.06;B;40;174.5;B;1;2019;2019/2020
616;50;B;14;99.48;A;31;174.02;B;1;2019;2019/2020
630;45;C;16;96.08;A;39;171.65;B;1;2019;2019/2020
1081;51;B;17;85.89;B;35;171.53;B;1;2019;2019/2020
1054;46;C;16;90.79;A;40;171.14;B;1;2019;2019/2020
674;45;C;15;92.98;A;40;170.79;B;1;2019;2019/2020
1354;50;B;17;90.03;A;33;170.35;B;1;2019;2019/2020
978;45;C;12;98.13;A;36;169.88;B;1;2019;2019/2020
849;49;C;16;79.79;C;40;169.54;B;1;2019;2019/2020
712;46;C;14;88.02;B;40;169.48;B;1;2019;2019/2020
1056;50;B;14;90.99;A;31;168.93;B;1;2019;2019/2020
2135;45;C;14;89.1;B;39;167.46;B;1;2019;2019/2020
936;45.5;C;13;90.85;A;37;167.34;B;1;2019;2019/2020
967;42.5;D;14;93.85;A;40;167.14;B;1;2019;2019/2020
426;53;B;15;87;A;20;165.14;B;1;2018;2018/2019
442;49.5;C;17;84.14;A;24;161.98;B;1;2018;2018/2019
696;53.82;B;10;75.13;B;15.42;161.4;B;1;2016;2016/2017
697;48;C;17;86.8;A;24;160.45;B;1;2018;2018/2019
485;48;C;14;88.98;A;23;160.3;B;1;2018;2018/2019
973;46.56;C;10;80.66;A;14.13;159.71;B;1;2016;2016/2017
513;47.5;C;15;85.77;A;24;158.5;B;1;2018;2018/2019
561;47.5;C;14;85.16;A;24;158.44;B;1;2018;2018/2019
1084;50.5;B;20;71.8;C;24;158.15;B;1;2018;2018/2019
1053;50;B;16;66.27;D;24;154.69;B;1;2018;2018/2019
925;45;C;16;85.98;A;24;154.55;B;1;2018;2018/2019
515;47.5;C;13;75.14;B;24;154.16;B;1;2018;2018/2019
466;47.5;C;14;84.36;A;20;153.81;B;1;2018;2018/2019
498;47.5;C;20;73.3;C;24;153.32;B;1;2018;2018/2019
275;53;B;17;84.27;A;16;150.35;B;1;2018;2018/2019
397;54.5;A;18;69.34;C;15;144.66;B;1;2018;2018/2019
172;53.5;B;14;0;FX;2;52.05;C;1;2018;2018/2019
